Ticker,Beta
COIN,2.9609591653634353
XYZ,2.5447844213264874
NVDA,2.2685158518822455
APP,2.2619330004579905
TTD,2.2371229624512874
PLTR,2.189588018492732
MPWR,2.134131133519685
AMD,2.0647487238076816
DASH,2.00491822199532
HOOD,1.9848279564216886
ON,1.966556182136004
CCL,1.962670539805167
TSLA,1.9570411817444804
DDOG,1.950866724906899
NCLH,1.8934137971737768
SMCI,1.8552553353781125
GNRC,1.8475703510465344
LRCX,1.8455850526548268
AMAT,1.7922121553869588
TER,1.7633076858866925
KLAC,1.758220934092199
META,1.724087746658149
CRWD,1.7140235705731635
BX,1.707990123990178
DAY,1.6726175126566176
ALGN,1.6705279919693177
ABNB,1.666256314625108
KKR,1.6535729653264422
RCL,1.6508843442704808
MCHP,1.6375566444451388
NOW,1.6093263262018984
AMZN,1.6068850684079363
QCOM,1.591832622089923
MU,1.5823045875824733
NXPI,1.5762358358888688
INTU,1.574164889607735
AVGO,1.5619832600923333
ADSK,1.5586651097640765
BLDR,1.5346368634892669
ALB,1.5255884702751077
ANET,1.5248911225459831
MTCH,1.5215420312749737
PYPL,1.5202935251788245
EPAM,1.5195260164080047
SWKS,1.511264726544425
NFLX,1.5109018452300573
ZBRA,1.5001893782684306
PAYC,1.4976118156942266
APTV,1.4968138532078377
UBER,1.4963337173855245
SNPS,1.4546478424965819
MGM,1.4545141331410387
ADBE,1.4479742795178607
WDC,1.4398226643197765
CRM,1.4355143761540499
URI,1.4326774484330862
MRNA,1.4272854972738147
TROW,1.4264556082421775
APO,1.4264223024518292
WSM,1.4220713993098266
IVZ,1.4197071899365148
CDNS,1.4144928201440807
TRMB,1.4077541300430565
INTC,1.398487602735264
UAL,1.3919309416571395
F,1.371336515876843
FTNT,1.3697675302802288
LULU,1.359129163073609
EXPE,1.3586585911805145
WDAY,1.349275550425234
WBD,1.3470028820904563
FCX,1.346974157778348
ADI,1.3399280986837054
GOOG,1.337524461952366
GOOGL,1.3355987136146092
DELL,1.32774864242154
SYF,1.3021003586636022
ISRG,1.3016030880074392
COF,1.2916117407477539
DECK,1.2795943363998754
GM,1.2760119911672012
MHK,1.2735160987488545
IDXX,1.269363703076664
KEY,1.2691586176455758
CRL,1.264003002407908
DAL,1.2619154776033934
PANW,1.2516353704116239
MSFT,1.2483289586522908
FICO,1.2480462201359814
EL,1.2460960833438905
ODFL,1.239719096771924
MSCI,1.2382107501498651
TPR,1.2379866583586812
STX,1.23664758794765
PHM,1.231800621336314
WYNN,1.2293480621867392
JBL,1.2266307835788428
PSKY,1.22154782928163
PODD,1.2202379173222375
RL,1.2192398819996737
AXON,1.2175407614179667
BEN,1.2154020193580195
AAPL,1.2106886659459084
KEYS,1.2079490193035274
POOL,1.2029714483841532
EFX,1.2002625462744911
BLK,1.1989107681568478
DXCM,1.1939262012625425
IQV,1.192551912444163
LEN,1.1910342241116372
TYL,1.1906542028213543
AMP,1.1837649500001095
LYV,1.175263968556751
ROK,1.170655136734795
TECH,1.1680971357617023
GPN,1.163146040169762
NUE,1.1621076718972336
TXN,1.1605577611959748
IR,1.1599726939806345
DHI,1.158004154730882
CARR,1.1561981453130283
STT,1.1555318137867496
CFG,1.1519823134743883
SWK,1.1483651669418136
MTD,1.1475134672734895
APH,1.1474252833268463
HPQ,1.1435927427734116
NKE,1.1428297305805815
TEL,1.1397689386893088
PH,1.1385315129886335
LII,1.1382710796023663
FITB,1.1345601013493882
BKNG,1.133449168418233
CSGP,1.1330381551713853
CBRE,1.1328324328647525
PWR,1.129111562421741
PTC,1.122299588382334
PNR,1.1218785141159084
AXP,1.121371216526118
HPE,1.121048795107978
STLD,1.1204386146822773
HST,1.1114556245176386
